S.NO,GenAI TOOL,LINK
1,Gemini,https://g.co/gemini/share/67c0c205483f
2,Gemini,https://g.co/gemini/share/4a023414a5d3
3,Gemini,https://g.co/gemini/share/a6026d5554fe
4,Gemini,https://g.co/gemini/share/4025a9bdecb5
5,ChatGPT,https://chat.openai.com/share/e155eb0c-72c6-47ea-b765-6529910cf6f2
6,ChatGPT,https://chat.openai.com/share/41a7bcea-d8ac-463c-9220-9e61d4e20557
7,ChatGPT,https://chat.openai.com/share/615e78d2-a95c-4fcc-bec6-18e5a1a6c7f2
8,ChatGPT,https://chat.openai.com/share/762ccd25-1662-4fbe-850b-3c70a8892a7d
9,ChatGPT,https://chat.openai.com/share/49c5b258-9262-4d09-9dd4-1beb0351f5b2
10,ChatGPT,https://chat.openai.com/share/58429780-48c9-4c85-8edc-72432e999f44
11,ChatGPT,https://chat.openai.com/share/e2a848d9-f962-451d-aea2-19776e65b8ad
12,ChatGPT,https://chat.openai.com/share/069dfb53-79b4-4bc1-b381-6d86d8b557fe
13,ChatGPT,https://chat.openai.com/share/a310c62e-dcdc-41a8-be8a-5c5bb754ef91
14,ChatGPT,https://chat.openai.com/share/ad45b2cb-69e6-4959-ab91-6fc9dde882bd
15,ChatGPT,https://chat.openai.com/share/2ddb134f-02b4-44f6-bda5-0bdf9d8ffdc1
16,ChatGPT,https://chat.openai.com/share/daa363bd-bf44-4105-a894-d0b85a8ad38e
17,ChatGPT,https://chat.openai.com/share/d20a8f54-2d55-4fa7-b927-eb1fa50403c1
18,ChatGPT,https://chat.openai.com/share/057086e3-54a5-4b23-88ba-cffa8511d4d1
19,ChatGPT,https://chat.openai.com/share/c5d2af02-c48e-49fe-9540-3a082ec76ea0
20,Merlin,https://www.getmerlin.in/share/chat/RAdipKAKSA5
21,Merlin,https://www.getmerlin.in/share/chat/jdbZI2mrFqh
22,Merlin,https://www.getmerlin.in/share/chat/fvEkcbv-RY_
23,Merlin,https://www.getmerlin.in/share/chat/2PzYnP1658J
24,Merlin,https://www.getmerlin.in/share/chat/q_QNnIrShUY
,,